,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
White,Both Sexes,2015,51183.0,127291.0,240.0,26441.0,10404.0,521.0,37106.0,33342.0,320.0,39959.0,37686.0,290.0,66926.0,29216.0,599.0,92640.0,16640.0,1014.0
White,Both Sexes,2014,48971.0,125227.0,226.0,26065.0,10553.0,582.0,35528.0,33616.0,283.0,39590.0,36920.0,335.0,63422.0,28313.0,516.0,88835.0,15823.0,976.0
White,Both Sexes,2013,47452.0,124663.0,252.0,24363.0,10220.0,543.0,34192.0,33746.0,279.0,37528.0,37388.0,323.0,60962.0,27869.0,564.0,91369.0,15439.0,1258.0
White,Both Sexes,2012,46844.0,124316.0,211.0,22048.0,10491.0,325.0,33928.0,33498.0,270.0,36943.0,37706.0,264.0,61527.0,27651.0,495.0,90948.0,14967.0,1045.0
White,Both Sexes,2011,46053.0,123044.0,202.0,21704.0,10891.0,286.0,33719.0,33803.0,292.0,36204.0,36861.0,226.0,61253.0,27096.0,457.0,90060.0,14391.0,1047.0
White,Both Sexes,2010,44257.0,122556.0,182.0,21540.0,10753.0,414.0,32132.0,34288.0,236.0,35330.0,36609.0,211.0,59285.0,26579.0,463.0,85255.0,14326.0,852.0
White,Both Sexes,2009,43337.0,125151.0,184.0,20457.0,11507.0,305.0,31429.0,36125.0,205.0,35634.0,37035.0,247.0,57762.0,26595.0,460.0,86188.0,13887.0,958.0
White,Both Sexes,2008,43666.0,127552.0,183.0,21590.0,12379.0,326.0,32126.0,36819.0,222.0,35622.0,37891.0,228.0,59866.0,26487.0,507.0,84739.0,13973.0,887.0
White,Both Sexes,2007,43139.0,127413.0,176.0,22289.0,12363.0,325.0,32223.0,37058.0,223.0,35685.0,37988.0,218.0,58652.0,26310.0,466.0,82384.0,13692.0,895.0
White,Both Sexes,2006,42395.0,126570.0,190.0,21464.0,13582.0,263.0,32083.0,37362.0,270.0,35338.0,36878.0,253.0,57932.0,25763.0,506.0,83185.0,12983.0,979.0
White,Both Sexes,2005,40717.0,124870.0,186.0,20264.0,13157.0,206.0,30569.0,37122.0,219.0,34326.0,37409.0,254.0,55785.0,24652.0,515.0,81697.0,12527.0,1045.0
White,Both Sexes,2004,38946.0,123452.0,174.0,19367.0,13290.0,255.0,29605.0,37115.0,224.0,32764.0,36551.0,207.0,52877.0,24061.0,440.0,78963.0,12435.0,1043.0
White,Both Sexes,2003,38053.0,122599.0,164.0,19110.0,13094.0,199.0,28708.0,36951.0,182.0,32346.0,36318.0,221.0,52259.0,24010.0,475.0,75638.0,12226.0,901.0
White,Both Sexes,2002,37376.0,122699.0,168.0,19264.0,13740.0,289.0,28145.0,37380.0,205.0,31878.0,36023.0,235.0,52479.0,23638.0,494.0,73870.0,11916.0,869.0
White,Both Sexes,2001,36844.0,122930.0,174.0,19120.0,14012.0,337.0,27700.0,37969.0,218.0,31482.0,35722.0,224.0,51631.0,23531.0,492.0,74398.0,11694.0,990.0
White,Both Sexes,2000,35527.0,123039.0,169.0,18285.0,14172.0,322.0,26444.0,38133.0,162.0,30638.0,36334.0,224.0,50969.0,23110.0,517.0,71983.0,11288.0,1006.0
White,Both Sexes,1999,33342.0,121518.0,206.0,16651.0,13912.0,350.0,25267.0,38622.0,207.0,29225.0,35575.0,301.0,46914.0,22382.0,596.0,68418.0,11027.0,1241.0
White,Both Sexes,1998,32057.0,119201.0,211.0,16474.0,13531.0,362.0,24409.0,38397.0,236.0,28318.0,34540.0,342.0,44852.0,22266.0,604.0,65379.0,10467.0,1147.0
White,Both Sexes,1997,30515.0,117985.0,210.0,16596.0,13780.0,409.0,23618.0,38409.0,240.0,26906.0,34274.0,337.0,41439.0,21528.0,556.0,65058.0,9994.0,1279.0
White,Both Sexes,1996,28844.0,117230.0,192.0,15358.0,13972.0,340.0,22782.0,38463.0,235.0,25511.0,34087.0,293.0,38936.0,20846.0,489.0,61779.0,9861.0,1230.0
White,Both Sexes,1995,27556.0,115636.0,181.0,14234.0,13869.0,234.0,22154.0,37802.0,261.0,24349.0,33850.0,264.0,37711.0,20203.0,503.0,57054.0,9914.0,1040.0
White,Both Sexes,1994,26696.0,114586.0,173.0,13941.0,13119.0,350.0,20911.0,37562.0,196.0,22648.0,34006.0,218.0,37996.0,19917.0,551.0,56475.0,9981.0,1020.0
White,Both Sexes,1993,25440.0,113342.0,165.0,13171.0,13480.0,283.0,19918.0,37826.0,166.0,21924.0,33728.0,193.0,35846.0,18922.0,469.0,56964.0,9386.0,1241.0
White,Both Sexes,1992,23739.0,112406.0,114.0,13046.0,13863.0,178.0,19171.0,38704.0,129.0,21178.0,32164.0,169.0,33007.0,18422.0,327.0,49315.0,9254.0,698.0
White,Both Sexes,1991,22998.0,111842.0,108.0,12914.0,14041.0,186.0,18766.0,39769.0,121.0,21013.0,30977.0,171.0,31837.0,18035.0,315.0,46496.0,9019.0,645.0
White,Both Sexes,1990,22401.0,111972.0,101.0,12773.0,15191.0,126.0,18257.0,44635.0,105.0,21095.0,25105.0,182.0,31626.0,15993.0,328.0,41908.0,11049.0,522.0
White,Both Sexes,1989,22035.0,111243.0,102.0,12654.0,15628.0,124.0,18011.0,44726.0,111.0,20678.0,24212.0,177.0,31266.0,15723.0,331.0,41610.0,10952.0,546.0
White,Both Sexes,1988,20616.0,110159.0,12236.0,16042.0,129.0,17183.0,44399.0,107.0,19384.0,23643.0,187.0,28886.0,15221.0,314.0,38129.0,10854.0,489.0,
White,Both Sexes,1987,19599.0,108407.0,12502.0,16165.0,145.0,16339.0,44235.0,18265.0,23083.0,171.0,27741.0,14624.0,317.0,36175.0,10300.0,477.0,,
White,Both Sexes,1986,18698.0,106384.0,11605.0,16094.0,134.0,15514.0,43593.0,17371.0,22653.0,146.0,27061.0,14055.0,271.0,35265.0,9987.0,422.0,,
White,Both Sexes,1985,17709.0,104818.0,11115.0,16149.0,118.0,14815.0,43347.0,16701.0,22131.0,138.0,25376.0,13670.0,261.0,33401.0,9522.0,391.0,,
White,Both Sexes,1984,16546.0,103022.0,10732.0,16559.0,113.0,14274.0,42547.0,15197.0,21451.0,117.0,23472.0,13056.0,207.0,30515.0,9409.0,298.0,,
White,Both Sexes,1983,15556.0,101035.0,10239.0,16568.0,13357.0,42007.0,14486.0,20452.0,21914.0,12577.0,28532.0,9430.0,,,,,,
White,Both Sexes,1982,14767.0,99488.0,9719.0,17132.0,12854.0,41157.0,13799.0,19967.0,114.0,20760.0,12103.0,195.0,27040.0,9127.0,286.0,,,
White,Both Sexes,1981,14027.0,99510.0,9737.0,18298.0,105.0,12355.0,42080.0,13424.0,19102.0,112.0,19389.0,11450.0,185.0,25564.0,8582.0,280.0,,
White,Both Sexes,1980,13040.0,98358.0,9743.0,18925.0,11524.0,41600.0,12677.0,18888.0,106.0,18434.0,11067.0,183.0,23466.0,7876.0,267.0,,,
White,Both Sexes,1979,12155.0,97544.0,8827.0,19504.0,10431.0,40458.0,11574.0,18835.0,16758.0,10807.0,172.0,22085.0,7940.0,266.0,,,,
White,Both Sexes,1978,11135.0,94002.0,8135.0,19516.0,10020.0,38915.0,10504.0,18022.0,15463.0,10171.0,168.0,20531.0,7376.0,265.0,,,,
White,Both Sexes,1977,10191.0,91254.0,7415.0,20492.0,9173.0,37521.0,9771.0,16968.0,14462.0,9534.0,144.0,19337.0,6739.0,235.0,,,,
White,Both Sexes,1976,9469.0,89099.0,7018.0,20625.0,8559.0,36523.0,8958.0,16127.0,13279.0,9325.0,127.0,18153.0,6498.0,230.0,,,,
White,Both Sexes,1975,8815.0,86894.0,6438.0,20696.0,8005.0,35799.0,8525.0,15423.0,12597.0,8955.0,129.0,16920.0,6021.0,217.0,,,,
White,Male,2019,69554.0,69489.0,545.0,33880.0,5742.0,695.0,47041.0,19766.0,501.0,56511.0,18621.0,745.0,90516.0,16530.0,1263.0,131420.0,8828.0,2591.0
White,Male,2018,66977.0,69057.0,539.0,32458.0,6098.0,838.0,47199.0,19815.0,625.0,54482.0,18546.0,847.0,87842.0,16080.0,1263.0,125533.0,8516.0,2358.0
White,Male,2017,64266.0,69222.0,391.0,32096.0,6277.0,649.0,46284.0,19933.0,528.0,51974.0,18724.0,538.0,83478.0,15913.0,837.0,122160.0,8373.0,1892.0
White,Male,2016,62680.0,68496.0,393.0,33153.0,6255.0,883.0,45390.0,19941.0,546.0,50063.0,18951.0,510.0,84069.0,15136.0,961.0,116854.0,8211.0,1734.0
White,Male,2015,60652.0,68610.0,380.0,31336.0,6755.0,748.0,43711.0,19807.0,472.0,47900.0,18905.0,454.0,82495.0,14884.0,1005.0,115094.0,8257.0,1708.0
White,Male,2014,58387.0,67466.0,363.0,30342.0,6858.0,780.0,41492.0,19815.0,381.0,48405.0,18518.0,562.0,78348.0,14409.0,886.0,112351.0,7864.0,1706.0
White,Male,2013,56215.0,67148.0,406.0,28253.0,6773.0,774.0,39191.0,19796.0,338.0,45403.0,18729.0,519.0,74018.0,14113.0,986.0,117959.0,7735.0,2200.0
White,Male,2012,55802.0,66906.0,337.0,25725.0,6809.0,473.0,40070.0,19390.0,423.0,45049.0,18825.0,460.0,74594.0,14268.0,799.0,114150.0,7612.0,1718.0
White,Male,2011,55013.0,66151.0,323.0,25819.0,6917.0,424.0,40247.0,19524.0,472.0,44155.0,18279.0,386.0,73630.0,13978.0,689.0,112515.0,7451.0,1741.0
White,Male,2010,52646.0,65828.0,295.0,25311.0,6896.0,624.0,37684.0,19685.0,372.0,42479.0,18019.0,344.0,72241.0,13845.0,741.0,106142.0,7383.0,1453.0
White,Male,2009,51287.0,67464.0,292.0,23353.0,7426.0,408.0,36418.0,20855.0,306.0,42884.0,18273.0,402.0,71286.0,13740.0,770.0,106571.0,7168.0,1558.0
White,Male,2008,52672.0,68816.0,295.0,25386.0,8113.0,477.0,37852.0,20899.0,333.0,43463.0,18849.0,374.0,75053.0,13596.0,835.0,107099.0,7356.0,1491.0
White,Male,2007,51781.0,69099.0,285.0,25886.0,8170.0,453.0,38214.0,21129.0,350.0,42903.0,18995.0,332.0,73477.0,13577.0,790.0,103293.0,7227.0,1514.0
White,Male,2006,51013.0,68752.0,305.0,24579.0,8932.0,324.0,38833.0,21090.0,449.0,42684.0,18340.0,403.0,71735.0,13326.0,831.0,103340.0,7063.0,1555.0
White,Male,2005,49611.0,67874.0,309.0,23556.0,8582.0,285.0,36753.0,20914.0,355.0,42206.0,18583.0,444.0,69852.0,12900.0,857.0,103144.0,6893.0,1747.0
White,Male,2004,47389.0,66714.0,282.0,22596.0,8592.0,374.0,35362.0,20761.0,344.0,40617.0,18005.0,351.0,65583.0,12582.0,709.0,99899.0,6774.0,1719.0
White,Male,2003,46114.0,66199.0,266.0,21791.0,8500.0,251.0,34224.0,20238.0,276.0,39594.0,18060.0,375.0,65264.0,12665.0,800.0,94017.0,6734.0,1418.0
White,Male,2002,45793.0,66202.0,273.0,22539.0,8841.0,416.0,33920.0,20156.0,321.0,39605.0,18068.0,414.0,65439.0,12512.0,787.0,92733.0,6623.0,1390.0
White,Male,2001,45071.0,66216.0,279.0,22006.0,8833.0,400.0,33545.0,20465.0,319.0,38501.0,17957.0,344.0,65046.0,12396.0,838.0,92304.0,6562.0,1577.0
White,Male,2000,44181.0,66222.0,282.0,21561.0,8859.0,431.0,32528.0,20553.0,253.0,38476.0,18179.0,398.0,64831.0,12271.0,880.0,89812.0,6359.0,1617.0
White,Male,1999,41622.0,65134.0,341.0,19279.0,8549.0,300.0,31289.0,20579.0,320.0,36757.0,17831.0,538.0,59672.0,11869.0,983.0,85405.0,6307.0,2016.0
White,Male,1998,39638.0,64181.0,341.0,19632.0,8430.0,490.0,29782.0,20388.0,359.0,35277.0,17407.0,588.0,56620.0,11874.0,1001.0,79734.0,6083.0,1716.0
White,Male,1997,37933.0,63738.0,347.0,20071.0,8670.0,563.0,29298.0,20426.0,402.0,33691.0,17423.0,571.0,51678.0,11340.0,920.0,80322.0,5879.0,2023.0
White,Male,1996,35821.0,63532.0,320.0,18246.0,8899.0,514.0,28591.0,20329.0,405.0,32238.0,17418.0,534.0,48014.0,11065.0,800.0,75481.0,5821.0,1871.0
White,Male,1995,34276.0,62520.0,298.0,17032.0,8660.0,338.0,27467.0,19982.0,403.0,30529.0,17136.0,451.0,47016.0,10851.0,852.0,70155.0,5891.0,1634.0
White,Male,1994,33292.0,62029.0,283.0,16835.0,8133.0,547.0,26125.0,19833.0,330.0,28240.0,17091.0,361.0,47575.0,10992.0,880.0,67629.0,5979.0,1504.0
White,Male,1993,31719.0,61356.0,270.0,15295.0,8430.0,265.0,24781.0,19835.0,264.0,27297.0,16959.0,334.0,44505.0,10452.0,722.0,70000.0,5680.0,1914.0
White,Male,1992,29201.0,61270.0,180.0,15180.0,8776.0,245.0,23677.0,20333.0,199.0,26095.0,16468.0,274.0,40802.0,10040.0,511.0,59297.0,5651.0,1000.0
White,Male,1991,28516.0,60770.0,171.0,15499.0,8720.0,271.0,23475.0,20765.0,187.0,26090.0,15873.0,279.0,39547.0,9893.0,490.0,55256.0,5519.0,924.0
White,Male,1990,28105.0,60676.0,167.0,15319.0,9476.0,168.0,23135.0,23088.0,174.0,26841.0,13003.0,317.0,39780.0,8770.0,546.0,50385.0,6731.0,798.0
White,Male,1989,28013.0,60877.0,171.0,15217.0,9805.0,165.0,23291.0,23029.0,191.0,26260.0,12582.0,303.0,39654.0,8750.0,553.0,51031.0,6710.0,831.0
White,Male,1988,26184.0,60221.0,160.0,14943.0,10008.0,175.0,22216.0,22707.0,181.0,24462.0,12277.0,310.0,36637.0,8467.0,521.0,46181.0,6762.0,728.0
White,Male,1987,24898.0,59468.0,152.0,15303.0,10132.0,202.0,21012.0,22682.0,162.0,23310.0,11771.0,295.0,34865.0,8384.0,510.0,43440.0,6499.0,702.0
White,Male,1986,23892.0,58932.0,131.0,14168.0,10239.0,183.0,20128.0,22392.0,143.0,22303.0,11846.0,248.0,34273.0,8041.0,437.0,42480.0,6413.0,618.0
White,Male,1985,22604.0,58385.0,122.0,13579.0,10163.0,158.0,19203.0,22357.0,136.0,21240.0,11831.0,224.0,32165.0,7970.0,416.0,40358.0,6064.0,580.0
White,Male,1984,21174.0,57362.0,100.0,13248.0,10280.0,148.0,18681.0,21989.0,125.0,19344.0,11387.0,193.0,29781.0,7624.0,321.0,36219.0,6081.0,423.0
White,Male,1983,19812.0,56641.0,12573.0,10387.0,140.0,17281.0,21733.0,117.0,18388.0,10974.0,202.0,27726.0,7379.0,309.0,33981.0,6168.0,409.0,
White,Male,1982,18859.0,56364.0,11952.0,10816.0,129.0,16662.0,21436.0,116.0,17571.0,10822.0,186.0,26404.0,7242.0,302.0,32266.0,6047.0,406.0,
White,Male,1981,18141.0,56397.0,12094.0,11523.0,142.0,16352.0,21809.0,109.0,17303.0,10448.0,184.0,24943.0,6824.0,289.0,30396.0,5794.0,393.0,
White,Male,1980,16945.0,55772.0,11539.0,11937.0,114.0,15382.0,21453.0,16313.0,10400.0,171.0,23803.0,6618.0,286.0,27991.0,5363.0,373.0,,
White,Male,1979,15971.0,55556.0,11127.0,12291.0,109.0,13916.0,20834.0,15043.0,10572.0,157.0,21785.0,6464.0,271.0,26645.0,5395.0,374.0,,
White,Male,1978,14627.0,54113.0,10358.0,12141.0,103.0,13534.0,20328.0,13589.0,10350.0,146.0,20085.0,6205.0,263.0,24635.0,5088.0,369.0,,
White,Male,1977,13329.0,53174.0,9366.0,12903.0,12377.0,19773.0,12657.0,9853.0,131.0,18521.0,5941.0,219.0,23093.0,4704.0,325.0,,,
White,Male,1976,12342.0,52312.0,8867.0,13117.0,11497.0,19446.0,11616.0,9394.0,130.0,16995.0,5765.0,194.0,21490.0,4589.0,314.0,,,
White,Male,1975,11448.0,51510.0,8110.0,13191.0,10726.0,19361.0,11028.0,9096.0,119.0,16079.0,5587.0,197.0,19858.0,4275.0,295.0,,,
White,Female,2019,48440.0,60356.0,441.0,20973.0,3258.0,650.0,31754.0,13124.0,438.0,36933.0,18032.0,537.0,59309.0,16417.0,894.0,83885.0,9523.0,1828.0
White,Female,2018,45531.0,59684.0,372.0,19024.0,3371.0,440.0,31228.0,13441.0,558.0,33968.0,17996.0,465.0,58494.0,15690.0,879.0,76703.0,9185.0,1254.0
White,Female,2017,43749.0,58847.0,290.0,18270.0,3419.0,354.0,30089.0,13374.0,492.0,33390.0,18023.0,375.0,54436.0,15213.0,585.0,77089.0,8816.0,1098.0
White,Female,2016,42098.0,58744.0,279.0,19807.0,3360.0,840.0,27929.0,13549.0,301.0,32911.0,18530.0,358.0,52669.0,14814.0,612.0,75138.0,8490.0,1129.0
White,Female,2015,40112.0,58680.0,262.0,17379.0,3649.0,486.0,27440.0,13535.0,357.0,31966.0,18781.0,346.0,50759.0,14332.0,591.0,70520.0,8382.0,1020.0
White,Female,2014,37971.0,57761.0,234.0,18129.0,3695.0,791.0,26965.0,13800.0,401.0,30718.0,18401.0,347.0,47954.0,13904.0,460.0,65599.0,7959.0,845.0
White,Female,2013,37222.0,57515.0,260.0,16718.0,3446.0,479.0,27097.0,13949.0,463.0,29622.0,18658.0,368.0,47565.0,13755.0,484.0,64670.0,7704.0,1052.0
White,Female,2012,36404.0,57409.0,223.0,15250.0,3682.0,268.0,25487.0,14107.0,247.0,28861.0,18881.0,244.0,47596.0,13383.0,535.0,66934.0,7355.0,1081.0
White,Female,2011,35635.0,56892.0,214.0,14541.0,3974.0,209.0,24793.0,14279.0,223.0,28383.0,18581.0,222.0,48064.0,13117.0,567.0,65952.0,6940.0,1012.0
White,Female,2010,34521.0,56728.0,184.0,14799.0,3857.0,251.0,24648.0,14603.0,220.0,28400.0,18590.0,234.0,45200.0,12735.0,498.0,63046.0,6943.0,732.0
White,Female,2009,34040.0,57687.0,199.0,15187.0,4080.0,417.0,24615.0,15270.0,233.0,28573.0,16762.0,279.0,43309.0,12855.0,434.0,64441.0,6718.0,993.0
White,Female,2008,33115.0,58735.0,185.0,14370.0,4265.0,227.0,24610.0,15919.0,255.0,27859.0,19041.0,248.0,43848.0,12891.0,512.0,59877.0,6616.0,736.0
White,Female,2007,32899.0,58313.0,172.0,15278.0,4192.0,343.0,24276.0,15929.0,214.0,28466.0,18993.0,271.0,42846.0,12733.0,414.0,59006.0,6464.0,726.0
White,Female,2006,32148.0,57818.0,195.0,15483.0,4650.0,437.0,23334.0,16272.0,186.0,28069.0,18537.0,296.0,43142.0,12437.0,512.0,59141.0,5920.0,974.0
White,Female,2005,30125.0,56995.0,165.0,14086.0,4575.0,228.0,22590.0,16208.0,183.0,26547.0,18825.0,234.0,40344.0,11751.0,484.0,55461.0,5634.0,744.0
White,Female,2004,29018.0,56738.0,169.0,13461.0,4698.0,192.0,22296.0,16354.0,243.0,25140.0,18546.0,205.0,38950.0,11479.0,457.0,53910.0,5661.0,879.0
White,Female,2003,28591.0,56400.0,162.0,14149.0,4593.0,310.0,22028.0,16712.0,211.0,25177.0,18258.0,222.0,37739.0,11344.0,410.0,53102.0,5492.0,889.0
White,Female,2002,27512.0,56496.0,165.0,13354.0,4898.0,286.0,21388.0,17224.0,226.0,24101.0,17954.0,200.0,37903.0,11126.0,526.0,50270.0,5293.0,754.0
White,Female,2001,27240.0,56714.0,181.0,14197.0,5178.0,596.0,20866.0,17503.0,278.0,24387.0,17764.0,276.0,36698.0,11135.0,407.0,51499.0,5131.0,895.0
White,Female,2000,25441.0,56816.0,148.0,12823.0,5313.0,458.0,19330.0,17579.0,173.0,22790.0,18155.0,184.0,35273.0,10838.0,413.0,48982.0,4929.0,849.0
White,Female,1999,23778.0,56385.0,186.0,12463.0,5364.0,764.0,18400.0,18044.0,226.0,21655.0,17744.0,240.0,32510.0,10513.0,539.0,45722.0,4720.0,832.0
White,Female,1998,23213.0,55020.0,211.0,11255.0,5102.0,498.0,18327.0,18009.0,280.0,21246.0,17132.0,321.0,31406.0,10393.0,536.0,45462.0,4384.0,1249.0
White,Female,1997,21779.0,54247.0,189.0,10700.0,5111.0,527.0,17166.0,17983.0,207.0,19892.0,16852.0,325.0,30041.0,10188.0,523.0,43236.0,4114.0,967.0
White,Female,1996,20590.0,53697.0,161.0,10290.0,5073.0,210.0,16270.0,18134.0,178.0,18482.0,16669.0,185.0,28667.0,9781.0,467.0,42049.0,4041.0,1202.0
White,Female,1995,19647.0,53117.0,164.0,9582.0,5208.0,239.0,16196.0,17820.0,304.0,18011.0,16714.0,246.0,26916.0,9352.0,383.0,37864.0,4022.0,709.0
White,Female,1994,18912.0,52557.0,163.0,9220.0,4987.0,192.0,15078.0,17729.0,168.0,16998.0,16915.0,225.0,26198.0,8925.0,525.0,39816.0,4002.0,1113.0
White,Female,1993,18028.0,51986.0,154.0,9624.0,5050.0,606.0,14557.0,17991.0,174.0,16490.0,16769.0,168.0,25161.0,8470.0,501.0,36988.0,3705.0,967.0
White,Female,1992,17194.0,51137.0,110.0,9363.0,5087.0,213.0,14184.0,18370.0,135.0,16018.0,15695.0,170.0,23670.0,8382.0,309.0,33655.0,3602.0,691.0
White,Female,1991,16431.0,51072.0,103.0,8677.0,5321.0,174.0,13621.0,19004.0,124.0,15677.0,15104.0,166.0,22469.0,8143.0,288.0,32685.0,3501.0,645.0
White,Female,1990,15559.0,50905.0,8725.0,5715.0,186.0,13031.0,21547.0,113.0,14922.0,12102.0,165.0,21725.0,7223.0,294.0,28694.0,4318.0,486.0,
White,Female,1989,14810.0,50366.0,8338.0,5823.0,182.0,12406.0,21697.0,107.0,14640.0,11630.0,170.0,20741.0,6973.0,272.0,26709.0,4242.0,510.0,
White,Female,1988,13902.0,49938.0,7747.0,6034.0,184.0,11915.0,21692.0,110.0,13898.0,11366.0,198.0,19169.0,6754.0,274.0,24824.0,4092.0,488.0,
White,Female,1987,13161.0,48939.0,7798.0,6033.0,190.0,11421.0,21553.0,110.0,13015.0,11312.0,167.0,18170.0,6240.0,289.0,23753.0,3801.0,482.0,
White,Female,1986,12247.0,47452.0,7123.0,5855.0,181.0,10641.0,21201.0,11964.0,10807.0,140.0,17418.0,6014.0,245.0,22320.0,3574.0,397.0,,
White,Female,1985,11555.0,46433.0,6931.0,5986.0,172.0,10142.0,20990.0,11488.0,10300.0,148.0,15883.0,5700.0,229.0,21202.0,3458.0,357.0,,
White,Female,1984,10732.0,45660.0,6614.0,6279.0,175.0,9561.0,20558.0,10504.0,10064.0,119.0,14617.0,5432.0,209.0,20092.0,3328.0,332.0,,
White,Female,1983,10126.0,44394.0,6317.0,6181.0,9150.0,20274.0,9969.0,9478.0,13664.0,5198.0,18230.0,3262.0,,,,,,
White,Female,1982,9419.0,43124.0,5896.0,6316.0,135.0,8714.0,19721.0,9336.0,9145.0,117.0,12352.0,4861.0,181.0,16779.0,3080.0,287.0,,
White,Female,1981,8646.0,43113.0,5727.0,6775.0,148.0,8054.0,20271.0,8740.0,8654.0,107.0,11196.0,4626.0,167.0,15523.0,2788.0,279.0,,
White,Female,1980,7926.0,42586.0,6675.0,6988.0,127.0,7415.0,20147.0,8221.0,8488.0,108.0,10447.0,4449.0,159.0,13809.0,2513.0,253.0,,
White,Female,1979,7105.0,41988.0,4909.0,7213.0,110.0,6731.0,19624.0,7135.0,8263.0,9275.0,4343.0,145.0,12420.0,2545.0,243.0,,,
White,Female,1978,6398.0,39889.0,4476.0,7375.0,138.0,6176.0,18587.0,6342.0,7672.0,8231.0,3966.0,131.0,11404.0,2288.0,235.0,,,
White,Female,1977,5808.0,38080.0,4097.0,7589.0,5604.0,17748.0,5774.0,7115.0,7750.0,3593.0,123.0,10655.0,2035.0,203.0,,,,
White,Female,1976,5383.0,36787.0,3788.0,7508.0,5214.0,17077.0,5250.0,6733.0,7262.0,3560.0,109.0,10131.0,1909.0,207.0,,,,
White,Female,1975,4982.0,35384.0,3500.0,7505.0,4800.0,16438.0,4926.0,6327.0,6822.0,3368.0,105.0,9728.0,1746.0,199.0,,,,
Non-Hispanic White,Both Sexes,2019,64433.0,103533.0,457.0,30069.0,3494.0,975.0,42902.0,24523.0,461.0,48628.0,29687.0,575.0,77313.0,29097.0,920.0,108813.0,16731.0,1803.0
Non-Hispanic White,Both Sexes,2018,61057.0,103357.0,403.0,27707.0,3784.0,1018.0,42466.0,25039.0,514.0,45772.0,29939.0,575.0,74950.0,28312.0,851.0,101350.0,16281.0,1428.0
Non-Hispanic White,Both Sexes,2017,58601.0,103373.0,294.0,27145.0,4032.0,654.0,41289.0,25484.0,436.0,43996.0,30141.0,369.0,71054.0,27773.0,573.0,100150.0,15941.0,1163.0
Non-Hispanic White,Both Sexes,2016,56574.0,103334.0,286.0,27014.0,3981.0,789.0,39265.0,25971.0,365.0,42932.0,30953.0,362.0,70220.0,26916.0,631.0,96689.0,15510.0,1099.0
Non-Hispanic White,Both Sexes,2015,54352.0,103957.0,275.0,26974.0,4394.0,808.0,38588.0,25921.0,369.0,40812.0,31693.0,320.0,67636.0,26508.0,629.0,93599.0,15438.0,1064.0
Non-Hispanic White,Both Sexes,2014,52171.0,102756.0,262.0,29080.0,4344.0,1286.0,36826.0,26583.0,324.0,40487.0,31236.0,368.0,64462.0,25783.0,552.0,89735.0,14808.0,1021.0
Non-Hispanic White,Both Sexes,2013,50604.0,102814.0,293.0,26750.0,4136.0,1249.0,35595.0,27119.0,329.0,38371.0,31688.0,363.0,61913.0,25437.0,589.0,92569.0,14432.0,1323.0
Non-Hispanic White,Both Sexes,2012,49981.0,102974.0,244.0,23126.0,4503.0,653.0,35399.0,26822.0,318.0,37942.0,32362.0,295.0,62537.0,25246.0,523.0,91627.0,14039.0,1092.0
Non-Hispanic White,Both Sexes,2011,49147.0,102365.0,234.0,22642.0,4849.0,531.0,35365.0,27313.0,348.0,36992.0,31780.0,251.0,62389.0,24891.0,486.0,90659.0,13529.0,1086.0
Non-Hispanic White,Both Sexes,2010,47033.0,102462.0,208.0,22584.0,4822.0,702.0,33360.0,28045.0,274.0,36079.0,31698.0,232.0,60257.0,24425.0,488.0,86040.0,13473.0,888.0
Non-Hispanic White,Both Sexes,2009,45939.0,105137.0,210.0,21229.0,5216.0,551.0,32562.0,29860.0,234.0,36249.0,32430.0,264.0,58487.0,24533.0,485.0,86770.0,13095.0,994.0
Non-Hispanic White,Both Sexes,2008,46179.0,107294.0,208.0,21765.0,5798.0,461.0,33159.0,30598.0,258.0,36158.0,33221.0,247.0,60866.0,24445.0,532.0,85017.0,13230.0,912.0
Non-Hispanic White,Both Sexes,2007,45542.0,107434.0,200.0,23015.0,5908.0,524.0,33094.0,30855.0,249.0,36290.0,33431.0,238.0,59727.0,24366.0,497.0,82900.0,12871.0,930.0
Non-Hispanic White,Both Sexes,2006,44813.0,106828.0,216.0,22206.0,6876.0,348.0,32931.0,31345.0,295.0,35872.0,32403.0,274.0,58917.0,23855.0,540.0,83785.0,12347.0,1015.0
Non-Hispanic White,Both Sexes,2005,42963.0,106337.0,213.0,21134.0,6603.0,347.0,31445.0,31484.0,248.0,34866.0,33355.0,279.0,56462.0,23013.0,545.0,82205.0,11879.0,1081.0
Non-Hispanic White,Both Sexes,2004,40943.0,105506.0,195.0,19742.0,6755.0,414.0,30197.0,31793.0,241.0,33217.0,32560.0,227.0,53411.0,22545.0,459.0,79355.0,11853.0,1073.0
Non-Hispanic White,Both Sexes,2003,40094.0,105214.0,185.0,19769.0,6768.0,303.0,29571.0,31831.0,206.0,32825.0,32460.0,234.0,52856.0,22474.0,495.0,76200.0,11680.0,931.0
