Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"15,430","62,464",70,"10,628","14,711",102,"14,317","23,318",87,"14,716","11,781",145,"21,482","6,889",260,"26,411","5,765",358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"14,154","60,586",67,"9,894","14,550",93,"13,188","22,650",85,"13,382","11,352",137,"19,861","6,611",250,"24,274","5,422",351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"12,888","59,441",56,"8,939","15,369",81,"12,092","21,846",70,"12,393","10,848",122,"18,187","6,341",210,"22,786","5,038",311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"11,923","58,419",52,"8,522","15,634",79,"11,189","21,499",65,"11,376","10,282",122,"16,714","6,135",186,"21,202","4,868",301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"11,091","57,297",49,"7,843","15,613",71,"10,475","21,347",64,"10,805","9,851",112,"15,758","5,960",188,"19,672","4,526",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"48,336","79,447",383,"21,869","4,340",711,"31,123","17,618",412,"36,214","23,543",439,"59,259","21,325",795,"85,623","12,620","1,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"45,136","78,265",314,"19,068","4,537",373,"30,103","17,889",457,"33,771","23,600",387,"57,551","20,148",718,"78,664","12,088","1,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"43,240","76,999",248,"18,885","4,643",367,"29,158","17,679",403,"33,063","23,775",325,"53,804","19,495",493,"78,142","11,405",962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"41,429","76,500",236,"19,974","4,586",700,"27,242","17,988",245,"32,391","24,236",324,"52,461","18,645",523,"74,656","11,043",935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"39,929","75,811",236,"17,162","4,949",381,"26,832","17,756",289,"31,970","24,382",336,"50,856","18,061",522,"72,006","10,660",962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"37,538","74,597",207,"17,915","4,941",621,"26,275","18,060",324,"30,064","23,966",300,"48,650","17,580",428,"65,814","10,049",789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"36,664","73,454",223,"16,964","4,675",501,"26,322","18,106",367,"29,242","23,840",321,"47,209","17,218",418,"65,242","9,614",924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"36,052","73,169",195,"15,995","4,847",437,"24,991","18,132",228,"28,588","24,202",226,"47,477","16,773",463,"67,182","9,213",917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"35,205","72,209",187,"14,643","5,234",188,"24,460","18,328",226,"28,275","23,529",203,"47,418","16,419",482,"65,915","8,697",884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"34,160","71,799",161,"14,959","5,112",219,"24,153","18,574",185,"28,195","23,626",207,"45,015","15,885",422,"63,515","8,602",690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"33,797","71,907",176,"15,514","5,232",341,"24,304","19,253",215,"28,207","23,344",238,"43,589","15,900",389,"64,771","8,176",898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"32,922","73,262",162,"14,521","5,621",210,"24,329","19,892",218,"27,708","23,833",213,"44,078","15,789",441,"60,301","8,126",690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"32,899","72,805",164,"15,315","5,550",277,"24,234","19,997",224,"28,773","23,660",284,"43,127","15,722",381,"59,273","7,873",655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"32,015","72,128",178,"15,352","6,110",345,"23,236","20,447",194,"28,126","23,121",275,"43,302","15,237",482,"59,636","7,213",843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"29,897","70,956",141,"14,294","6,044",200,"22,208","20,304",156,"26,348","23,260",202,"40,684","14,440",412,"55,553","6,906",655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"28,722","70,320",147,"13,658","6,182",179,"21,954","20,359",202,"25,003","22,904",177,"38,806","14,173",388,"54,559","6,702",834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"28,367","69,790",147,"14,214","6,108",255,"21,659","20,772",182,"24,848","22,514",193,"38,447","13,823",405,"53,579","6,572",808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"27,271","69,735",143,"13,459","6,404",230,"21,141","21,233",200,"23,905","22,176",172,"37,909","13,589",448,"50,756","6,330",675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"26,962","69,487",162,"14,524","6,720",569,"20,489","21,402",232,"24,268","21,824",241,"36,913","13,472",396,"51,160","6,068",790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"25,228","69,647",131,"12,739","6,890",360,"19,162","21,538",152,"22,779","22,348",161,"35,328","13,113",357,"49,368","5,757",842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"23,584","69,094",162,"12,203","6,929",597,"18,112","22,075",193,"21,675","21,808",212,"32,547","12,680",465,"46,369","5,602",801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"22,818","66,840",180,"11,353","6,657",401,"17,898","21,832",237,"21,056","20,867",273,"31,452","12,332",467,"44,954","5,153","1,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"21,528","65,771",163,"10,725","6,614",415,"16,906","21,824",179,"19,856","20,442",277,"30,119","12,027",460,"42,744","4,863",863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"20,570","64,748",165,"10,421","6,492",193,"16,161","21,942",160,"18,933","20,202",406,"28,701","11,466",421,"42,625","4,646","1,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"19,414","63,587",144,"9,790","6,678",208,"15,970","21,073",263,"17,962","20,224",213,"26,841","11,034",341,"37,813","4,578",702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"18,684","62,850",143,"9,189","6,498",165,"14,955","21,195",149,"16,928","20,276",199,"26,483","10,388",463,"39,905","4,493","1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"17,900","61,937",141,"9,462","6,425",482,"14,446","21,391",174,"16,555","19,897",155,"25,232","10,005",441,"37,212","4,218",986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"17,050","60,753",100,"9,248","6,394",183,"14,073","21,783",122,"15,922","18,721",154,"23,926","9,741",284,"33,791","4,114",637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"16,320","60,226",95,"8,818","6,875",159,"13,523","22,398",114,"15,643","17,657",151,"22,800","9,349",270,"32,932","3,949",634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"15,493","59,862",86,"8,808","7,286",169,"12,986","25,224",103,"15,002","14,149",154,"21,933","8,321",270,"28,862","4,883",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"14,809","59,296",84,"8,268","7,363",167,"12,468","25,377",98,"14,688","13,694",155,"21,089","8,030",264,"26,977","4,831",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"13,833","58,558",84,"7,711","7,642",165,"11,857","25,217",100,"14,009","13,198",179,"19,216","7,842",253,"25,010","4,660",451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"13,049","56,923",80,"7,504","7,631",171,"11,309","24,834",100,"13,158","12,971",155,"18,217","7,211",261,"24,004","4,277",447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"12,214","55,568",67,"7,109","7,457",169,"10,606","24,542",78,"12,029","12,611",133,"17,623","6,880",233,"22,672","4,078",367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"11,493","54,212",63,"6,874","7,555",179,"10,115","24,178",76,"11,504","12,017",134,"16,114","6,579",207,"21,202","3,883",334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"10,742","53,178",56,"6,644","7,881",203,"9,561","23,625",69,"10,614","11,645",110,"14,865","6,266",193,"20,275","3,762",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"10,111","51,279",(NA),"6,292","7,644",(NA),"9,147","23,111",(NA),"9,981","10,947",(NA),"13,808","5,919",(NA),"18,593","3,658",(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"9,403","49,962",50,"5,932","7,921",123,"8,715","22,525",66,"9,348","10,499",108,"12,511","5,560",167,"17,009","3,457",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"8,619","49,754",44,"5,673","8,595",165,"8,063","22,897",57,"8,811","9,975",98,"11,384","5,186",156,"15,647","3,101",264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"7,909","49,094",42,"5,263","8,755",134,"7,423","22,772",53,"8,256","9,721",99,"10,628","5,043",152,"14,022","2,802",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"7,099","48,362",38,"4,840","9,072",106,"6,741","22,179",48,"7,190","9,393",89,"9,474","4,862",137,"12,717","2,856",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"6,396","45,850",35,"4,397","9,237",111,"6,192","20,860",46,"6,441","8,769",79,"8,408","4,390",128,"11,603","2,595",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"5,804","43,678",30,"4,032","9,485",86,"5,624","19,850",39,"5,856","8,057",69,"7,923","4,016",115,"10,848","2,271",191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"5,373","42,091",28,"3,723","9,401",76,"5,240","19,071",37,"5,301","7,504",70,"7,383","3,997",102,"10,345","2,117",199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"4,968","40,584",26,"3,438","9,303",75,"4,802","18,480",34,"5,019","7,066",62,"6,963","3,804",98,"9,818","1,931",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"59,739","129,846",380,"29,207","9,001",541,"40,941","32,891",374,"46,879","36,653",496,"74,966","32,947",832,"106,753","18,352","1,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"57,035","128,742",347,"27,675","9,470",574,"40,744","33,256",450,"44,379","36,543",503,"73,348","31,770",803,"100,195","17,702","1,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"54,838","128,070",252,"27,220","9,696",446,"39,781","33,308",377,"42,859","36,748",335,"69,284","31,127",525,"99,044","17,190","1,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"53,178","127,241",250,"28,489","9,615",650,"38,326","33,491",352,"41,583","37,481",317,"68,538","29,950",583,"95,647","16,701","1,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"51,183","127,291",240,"26,441","10,404",521,"37,106","33,342",320,"39,959","37,686",290,"66,926","29,216",599,"92,640","16,640","1,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"48,971","125,227",226,"26,065","10,553",582,"35,528","33,616",283,"39,590","36,920",335,"63,422","28,313",516,"88,835","15,823",976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"47,452","124,663",252,"24,363","10,220",543,"34,192","33,746",279,"37,528","37,388",323,"60,962","27,869",564,"91,369","15,439","1,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"46,844","124,316",211,"22,048","10,491",325,"33,928","33,498",270,"36,943","37,706",264,"61,527","27,651",495,"90,948","14,967","1,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"46,053","123,044",202,"21,704","10,891",286,"33,719","33,803",292,"36,204","36,861",226,"61,253","27,096",457,"90,060","14,391","1,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"44,257","122,556",182,"21,540","10,753",414,"32,132","34,288",236,"35,330","36,609",211,"59,285","26,579",463,"85,255","14,326",852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"43,337","125,151",184,"20,457","11,507",305,"31,429","36,125",205,"35,634","37,035",247,"57,762","26,595",460,"86,188","13,887",958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"43,666","127,552",183,"21,590","12,379",326,"32,126","36,819",222,"35,622","37,891",228,"59,866","26,487",507,"84,739","13,973",887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"43,139","127,413",176,"22,289","12,363",325,"32,223","37,058",223,"35,685","37,988",218,"58,652","26,310",466,"82,384","13,692",895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"42,395","126,570",190,"21,464","13,582",263,"32,083","37,362",270,"35,338","36,878",253,"57,932","25,763",506,"83,185","12,983",979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"40,717","124,870",186,"20,264","13,157",206,"30,569","37,122",219,"34,326","37,409",254,"55,785","24,652",515,"81,697","12,527","1,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"38,946","123,452",174,"19,367","13,290",255,"29,605","37,115",224,"32,764","36,551",207,"52,877","24,061",440,"78,963","12,435","1,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"38,053","122,599",164,"19,110","13,094",199,"28,708","36,951",182,"32,346","36,318",221,"52,259","24,010",475,"75,638","12,226",901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"37,376","122,699",168,"19,264","13,740",289,"28,145","37,380",205,"31,878","36,023",235,"52,479","23,638",494,"73,870","11,916",869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"36,844","122,930",174,"19,120","14,012",337,"27,700","37,969",218,"31,482","35,722",224,"51,631","23,531",492,"74,398","11,694",990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"35,527","123,039",169,"18,285","14,172",322,"26,444","38,133",162,"30,638","36,334",224,"50,969","23,110",517,"71,983","11,288","1,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"33,342","121,518",206,"16,651","13,912",350,"25,267","38,622",207,"29,225","35,575",301,"46,914","22,382",596,"68,418","11,027","1,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"32,057","119,201",211,"16,474","13,531",362,"24,409","38,397",236,"28,318","34,540",342,"44,852","22,266",604,"65,379","10,467","1,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"30,515","117,985",210,"16,596","13,780",409,"23,618","38,409",240,"26,906","34,274",337,"41,439","21,528",556,"65,058","9,994","1,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"28,844","117,230",192,"15,358","13,972",340,"22,782","38,463",235,"25,511","34,087",293,"38,936","20,846",489,"61,779","9,861","1,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"27,556","115,636",181,"14,234","13,869",234,"22,154","37,802",261,"24,349","33,850",264,"37,711","20,203",503,"57,054","9,914","1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"26,696","114,586",173,"13,941","13,119",350,"20,911","37,562",196,"22,648","34,006",218,"37,996","19,917",551,"56,475","9,981","1,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"25,440","113,342",165,"13,171","13,480",283,"19,918","37,826",166,"21,924","33,728",193,"35,846","18,922",469,"56,964","9,386","1,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"23,739","112,406",114,"13,046","13,863",178,"19,171","38,704",129,"21,178","32,164",169,"33,007","18,422",327,"49,315","9,254",698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"22,998","111,842",108,"12,914","14,041",186,"18,766","39,769",121,"21,013","30,977",171,"31,837","18,035",315,"46,496","9,019",645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"22,401","111,972",101,"12,773","15,191",126,"18,257","44,635",105,"21,095","25,105",182,"31,626","15,993",328,"41,908","11,049",522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"22,035","111,243",102,"12,654","15,628",124,"18,011","44,726",111,"20,678","24,212",177,"31,266","15,723",331,"41,610","10,952",546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"20,616","110,159",97,"12,236","16,042",129,"17,183","44,399",107,"19,384","23,643",187,"28,886","15,221",314,"38,129","10,854",489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"19,599","108,407",93,"12,502","16,165",145,"16,339","44,235",99,"18,265","23,083",171,"27,741","14,624",317,"36,175","10,300",477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"18,698","106,384",79,"11,605","16,094",134,"15,514","43,593",84,"17,371","22,653",146,"27,061","14,055",271,"35,265","9,987",422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"17,709","104,818",75,"11,115","16,149",118,"14,815","43,347",81,"16,701","22,131",138,"25,376","13,670",261,"33,401","9,522",391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"16,546","103,022",62,"10,732","16,559",113,"14,274","42,547",74,"15,197","21,451",117,"23,472","13,056",207,"30,515","9,409",298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"15,556","101,035",(NA),"10,239","16,568",(NA),"13,357","42,007",(NA),"14,486","20,452",(NA),"21,914","12,577",(NA),"28,532","9,430",(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"14,767","99,488",57,"9,719","17,132",95,"12,854","41,157",70,"13,799","19,967",114,"20,760","12,103",195,"27,040","9,127",286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"14,027","99,510",53,"9,737","18,298",105,"12,355","42,080",64,"13,424","19,102",112,"19,389","11,450",185,"25,564","8,582",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"13,040","98,358",49,"9,743","18,925",86,"11,524","41,600",58,"12,677","18,888",106,"18,434","11,067",183,"23,466","7,876",267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"12,155","97,544",47,"8,827","19,504",80,"10,431","40,458",54,"11,574","18,835",98,"16,758","10,807",172,"22,085","7,940",266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"11,135","94,002",44,"8,135","19,516",83,"10,020","38,915",53,"10,504","18,022",91,"15,463","10,171",168,"20,531","7,376",265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"10,191","91,254",37,"7,415","20,492",65,"9,173","37,521",44,"9,771","16,968",82,"14,462","9,534",144,"19,337","6,739",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"9,469","89,099",35,"7,018","20,625",62,"8,559","36,523",41,"8,958","16,127",82,"13,279","9,325",127,"18,153","6,498",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"8,815","86,894",33,"6,438","20,696",57,"8,005","35,799",41,"8,525","15,423",75,"12,597","8,955",129,"16,920","6,021",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"69,554","69,489",545,"33,880","5,742",695,"47,041","19,766",501,"56,511","18,621",745,"90,516","16,530","1,263","131,420","8,828","2,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"66,977","69,057",539,"32,458","6,098",838,"47,199","19,815",625,"54,482","18,546",847,"87,842","16,080","1,263","125,533","8,516","2,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"64,266","69,222",391,"32,096","6,277",649,"46,284","19,933",528,"51,974","18,724",538,"83,478","15,913",837,"122,160","8,373","1,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"62,680","68,496",393,"33,153","6,255",883,"45,390","19,941",546,"50,063","18,951",510,"84,069","15,136",961,"116,854","8,211","1,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"60,652","68,610",380,"31,336","6,755",748,"43,711","19,807",472,"47,900","18,905",454,"82,495","14,884","1,005","115,094","8,257","1,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"58,387","67,466",363,"30,342","6,858",780,"41,492","19,815",381,"48,405","18,518",562,"78,348","14,409",886,"112,351","7,864","1,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"56,215","67,148",406,"28,253","6,773",774,"39,191","19,796",338,"45,403","18,729",519,"74,018","14,113",986,"117,959","7,735","2,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"55,802","66,906",337,"25,725","6,809",473,"40,070","19,390",423,"45,049","18,825",460,"74,594","14,268",799,"114,150","7,612","1,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"55,013","66,151",323,"25,819","6,917",424,"40,247","19,524",472,"44,155","18,279",386,"73,630","13,978",689,"112,515","7,451","1,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"52,646","65,828",295,"25,311","6,896",624,"37,684","19,685",372,"42,479","18,019",344,"72,241","13,845",741,"106,142","7,383","1,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
