Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"34,514","147,966",148,"17,738","17,425",269,"25,692","45,977",142,"29,939","43,874",194,"49,595","27,488",451,"71,194","13,200",924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"32,359","146,212",179,"16,127","17,224",290,"24,551","46,531",181,"28,469","43,019",257,"45,644","26,490",516,"67,756","12,949","1,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"30,928","142,053",183,"16,053","16,742",306,"23,594","45,987",203,"27,566","41,412",302,"43,782","25,818",533,"63,473","12,095","1,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"29,514","140,367",183,"16,124","16,962",346,"22,895","45,976",206,"26,235","40,802",289,"40,478","25,035",489,"63,229","11,591","1,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"28,106","138,703",176,"15,011","17,075",286,"22,154","45,908",209,"25,181","40,410",279,"38,112","24,028",436,"61,317","11,281","1,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"26,792","136,221",164,"14,013","16,990",201,"21,431","44,546",225,"23,862","40,142",245,"36,980","23,285",463,"56,667","11,258",490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"25,852","135,096",153,"13,697","16,479",288,"20,248","44,614",170,"22,226","40,135",193,"37,224","22,712",491,"56,105","11,155",961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"24,674","133,119",148,"12,820","16,575",237,"19,422","44,779",162,"21,539","39,429",173,"35,121","21,815",425,"55,789","10,521","1,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"23,036","131,891",102,"12,685","17,055",155,"18,637","45,600",115,"20,680","37,730",152,"32,525","21,080",301,"48,548","10,426",647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"22,332","130,371",97,"12,613","17,553",160,"18,261","46,508",109,"20,551","35,732",154,"31,323","20,475",288,"46,038","10,103",606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"21,793","130,080",91,"12,582","18,698",115,"17,820","51,977",95,"20,694","28,993",165,"31,112","18,128",300,"41,458","12,285",488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"21,414","129,094",92,"12,242","19,137",112,"17,594","51,846",100,"20,255","28,078",161,"30,736","17,767",304,"41,019","12,265",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"20,060","127,564",88,"11,889","19,635",118,"16,750","51,297",98,"19,066","27,217",171,"28,344","17,308",286,"37,724","12,109",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"19,016","124,874",83,"11,824","19,748",133,"15,939","50,815",91,"18,054","26,404",156,"26,919","16,497",289,"35,968","11,411",447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"18,149","122,757",72,"11,203","19,665",149,"15,120","50,104",77,"17,073","26,113",135,"26,511","15,788",251,"34,787","11,087",393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"17,181","120,651",67,"10,726","19,692",133,"14,457","49,674",74,"16,349","25,402",127,"24,877","15,373",238,"32,909","10,510",367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"16,083","118,183",57,"10,384","20,206",130,"13,893","48,452",68,"14,936","24,463",107,"23,072","14,653",191,"30,192","10,410",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"15,137","115,095",(NA),"9,853","20,020",(NA),"13,044","47,560",(NA),"14,245","23,208",(NA),"21,532","13,929",(NA),"28,333","10,377",(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"14,351","113,451",52,"9,387","20,789",101,"12,560","46,584",64,"13,503","22,602",105,"20,272","13,425",181,"26,915","10,051",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"13,624","113,301",48,"9,357","22,296",110,"12,109","47,332",59,"13,176","21,759",101,"19,006","12,579",173,"25,281","9,336",266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"12,665","111,919",45,"8,845","23,028",95,"11,314","46,795",54,"12,409","21,384",97,"18,075","12,175",171,"23,308","8,535",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"11,795","110,826",43,"8,420","23,783",75,"10,624","45,497",50,"11,377","21,174",90,"16,514","11,751",163,"21,874","8,621",251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"10,812","106,436",41,"7,759","23,787",71,"9,834","43,510",49,"10,357","20,121",85,"15,291","11,001",159,"20,173","8,017",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"9,887","103,119",35,"7,066","24,854",60,"9,013","41,696",41,"9,607","18,905",76,"14,207","10,357",136,"19,077","7,309",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"9,180","100,510",32,"6,720","25,035",57,"8,393","40,570",39,"8,813","17,786",76,"13,033","10,132",120,"17,911","6,985",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"8,552","97,881",31,"6,198","24,916",53,"7,843","39,827",38,"8,388","16,917",70,"12,332","9,764",121,"16,725","6,457",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"67,784","87,767",475,"33,824","7,073",707,"45,188","24,980",435,"54,044","23,341",629,"87,398","20,828","1,086","129,882","11,543","2,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"65,058","86,913",466,"31,846","7,520",720,"45,259","24,992",531,"52,460","23,286",710,"84,803","20,083","1,088","123,215","11,029","2,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"62,662","86,872",343,"31,688","7,597",565,"44,466","25,137",459,"50,012","23,606",474,"81,607","19,657",760,"119,590","10,871","1,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"61,232","85,718",348,"32,463","7,695",782,"43,534","24,908",472,"48,123","23,891",442,"82,089","18,627",850,"116,617","10,595","1,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"58,944","85,263",331,"30,230","8,210",627,"41,942","24,647",410,"46,154","23,578",394,"79,927","18,287",867,"113,279","10,539","1,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"56,701","83,402",317,"29,618","8,256",689,"39,874","24,468",335,"46,137","23,057",478,"76,169","17,725",775,"110,645","9,895","1,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"54,658","82,576",358,"27,586","8,286",692,"37,763","24,327",329,"43,841","23,112",459,"72,124","17,203",877,"115,282","9,647","1,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"54,118","81,979",294,"24,955","8,183",402,"38,454","23,783",379,"43,593","23,267",408,"72,546","17,175",698,"110,501","9,570","1,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"52,273","80,502",285,"25,155","8,359",375,"38,679","23,800",409,"43,239","22,469",384,"71,162","16,769",606,"109,063","9,102","1,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"50,855","79,949",258,"24,560","8,428",525,"36,281","24,076",322,"41,214","21,978",314,"69,764","16,486",651,"103,488","8,980","1,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"50,186","80,799",265,"23,036","8,851",395,"35,468","25,143",283,"41,773","21,895",360,"69,479","16,226",687,"105,636","8,683","1,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"51,148","82,727",264,"24,831","9,596",460,"36,753","25,290",308,"42,221","22,830",341,"72,868","16,100",745,"103,980","8,909","1,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"50,110","82,932",249,"24,985","9,780",387,"36,839","25,396",299,"41,709","22,916",300,"70,898","16,109",686,"100,550","8,730","1,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"49,647","82,310",275,"24,072","10,541",285,"37,356","25,489",388,"41,521","21,952",357,"69,818","15,769",757,"101,441","8,556","1,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"48,034","81,258",273,"23,222","10,273",261,"35,248","25,348",303,"40,995","22,173",393,"67,980","15,217",782,"100,379","8,245","1,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"45,989","79,776",252,"22,512","10,191",378,"34,054","25,186",296,"39,488","21,477",327,"63,697","14,877",643,"97,702","8,044","1,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"44,726","78,869",235,"21,447","10,173",245,"33,266","24,292",245,"38,451","21,534",332,"63,084","14,849",702,"91,831","8,019","1,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"44,310","78,757",244,"22,091","10,526",398,"32,673","24,174",276,"38,377","21,599",371,"63,503","14,667",710,"90,761","7,788","1,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"43,648","78,342",251,"21,508","10,572",347,"32,363","24,239",277,"37,429","21,390",321,"63,354","14,507",772,"90,130","7,631","1,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"42,772","78,319",250,"21,007","10,535",372,"31,446","24,439",223,"37,372","21,526",349,"62,609","14,375",779,"88,077","7,442","1,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"40,222","77,118",300,"18,769","10,294",264,"30,363","24,456",286,"35,455","21,211",463,"57,669","13,810",864,"84,065","7,347","1,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"38,134","75,213",301,"19,155","10,085",426,"28,742","24,155",312,"34,179","20,545",531,"55,057","13,486",901,"77,217","6,942","1,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"36,556","74,596",307,"19,575","10,348",493,"28,307","24,152",348,"32,641","20,359",499,"50,056","13,008",818,"78,032","6,728","1,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"34,705","73,955",291,"17,826","10,583",440,"27,642","23,966",364,"31,426","20,208",488,"46,702","12,562",720,"74,406","6,636","1,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"33,251","72,634",275,"16,748","10,312",296,"26,333","23,473",349,"29,851","19,918",433,"46,111","12,251",802,"69,588","6,679","1,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"32,087","72,246",251,"16,633","9,981",457,"25,038","23,418",286,"27,636","19,859",324,"46,278","12,324",796,"67,032","6,663","1,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"30,568","71,183",244,"14,946","10,151",233,"23,973","23,388",259,"26,614","19,532",301,"43,499","11,810",669,"68,221","6,302","1,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"28,148","71,138",163,"14,747","10,661",216,"22,811","23,816",179,"25,366","19,009",249,"39,912","11,340",477,"58,166","6,312",936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"27,494","70,145",155,"15,056","10,679",235,"22,663","24,110",171,"25,345","18,075",255,"38,484","11,126",452,"54,448","6,154",866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"27,164","70,218",151,"14,991","11,412",155,"22,378","26,753",158,"26,120","14,844",288,"38,901","9,807",505,"49,768","7,402",751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
